sku,variant id,product id,title,description,product url,image url,original price,sale price,quantity,quantity status
RGO8193W1WDSZA9,39894642360391,4458725113927,Enchanted Disney Fine Jewelry 10K White Gold 1/3 CTTW Majestic Princess Tiara Ring-9,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-10k-white-gold-1-3cttw-majestic-princess-tiara-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO8193W1WDSZA.jpg?v=1637150350,850.00,595.00 USD,4,In Stock
RGO7287Y4BDSZA,39894155231303,4458725408839,Enchanted Disney Fine Jewelry 14K Yellow Gold 1/10 CTTW Diamond and Swiss Blue Topaz Jasmine Fashion Ring-7,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-14k-yellow-gold-1-10-cttw-diamond-and-swiss-blue-topaz-jasmine-fashion-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO7287_0_72dpi.jpg?v=1637150271,1000.00,800.00 USD,10,In Stock
RGO7287Y4BDSZA8,39894641967175,4458725408839,Enchanted Disney Fine Jewelry 14K Yellow Gold 1/10 CTTW Diamond and Swiss Blue Topaz Jasmine Fashion Ring-8,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-14k-yellow-gold-1-10-cttw-diamond-and-swiss-blue-topaz-jasmine-fashion-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO7287_0_72dpi.jpg?v=1637150271,1000.00,800.00 USD,8,In Stock
RGO7287Y4BDSZA6,39894641999943,4458725408839,Enchanted Disney Fine Jewelry 14K Yellow Gold 1/10 CTTW Diamond and Swiss Blue Topaz Jasmine Fashion Ring-6,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-14k-yellow-gold-1-10-cttw-diamond-and-swiss-blue-topaz-jasmine-fashion-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO7287_0_72dpi.jpg?v=1637150271,1000.00,800.00 USD,4,In Stock
RGO7287Y4BDSZA5,39894642032711,4458725408839,Enchanted Disney Fine Jewelry 14K Yellow Gold 1/10 CTTW Diamond and Swiss Blue Topaz Jasmine Fashion Ring-5,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-14k-yellow-gold-1-10-cttw-diamond-and-swiss-blue-topaz-jasmine-fashion-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO7287_0_72dpi.jpg?v=1637150271,1000.00,800.00 USD,3,In Stock
RGO7287Y4BDSZA9,39894642065479,4458725408839,Enchanted Disney Fine Jewelry 14K Yellow Gold 1/10 CTTW Diamond and Swiss Blue Topaz Jasmine Fashion Ring-9,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-14k-yellow-gold-1-10-cttw-diamond-and-swiss-blue-topaz-jasmine-fashion-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/RGO7287_0_72dpi.jpg?v=1637150271,1000.00,800.00 USD,1,In Stock
RGO6627-SY1P-DS,39894155329607,4458725605447,Enchanted Disney Fine Jewelry Sterling Silver and 10K Yellow Gold 1/10 CTTW Jasmine Tiara Ring-7,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-sterling-silver-and-10k-yellow-gold-1-10cttw-jasmine-tiara-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/11-16-2017_SD_RGO6627_0176_72dpi_1.jpg?v=1638960928,350.00,245.00 USD,8,In Stock
RGO6627-SY1P-DS6,39894641836103,4458725605447,Enchanted Disney Fine Jewelry Sterling Silver and 10K Yellow Gold 1/10 CTTW Jasmine Tiara Ring-6,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-sterling-silver-and-10k-yellow-gold-1-10cttw-jasmine-tiara-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/11-16-2017_SD_RGO6627_0176_72dpi_1.jpg?v=1638960928,350.00,245.00 USD,7,In Stock
RGO6627-SY1P-DS8,39894641868871,4458725605447,Enchanted Disney Fine Jewelry Sterling Silver and 10K Yellow Gold 1/10 CTTW Jasmine Tiara Ring-8,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-sterling-silver-and-10k-yellow-gold-1-10cttw-jasmine-tiara-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/11-16-2017_SD_RGO6627_0176_72dpi_1.jpg?v=1638960928,350.00,245.00 USD,7,In Stock
RGO6627-SY1P-DS5,39894641901639,4458725605447,Enchanted Disney Fine Jewelry Sterling Silver and 10K Yellow Gold 1/10 CTTW Jasmine Tiara Ring-5,"",https://www.enchantedfinejewelry.com/products/enchanted-disney-fine-jewelry-sterling-silver-and-10k-yellow-gold-1-10cttw-jasmine-tiara-ring,https://cdn.shopify.com/s/files/1/0267/0523/1943/products/11-16-2017_SD_RGO6627_0176_72dpi_1.jpg?v=1638960928,350.00,245.00 USD,5,In Stock
